policy,run_idx,run_seed,episode_idx,episode_seed,slot,g_th,alpha_th,irs_index,tx_this_slot,total_tx,power_avg,reward,oracle_irs_index,oracle_tx_this_slot,irs_matches_oracle,oracle_tx_gap,termination_reason
SAC,1,2026,1,1829338324,1,0.001508454442024231,0.0524209588766098,8,37,37,0.27965643808905455,73.86016845703125,7,42,0,5,running
SAC,1,2026,1,1829338324,2,0.0014295438528060913,0.05200595557689667,7,11,48,0.5137531036190239,21.74312400817871,7,11,1,0,running
SAC,1,2026,1,1829338324,3,0.0024585107564926148,0.05697578191757202,8,0,48,0.0,0.0,11,1,0,1,running
SAC,1,2026,1,1829338324,4,0.03561379110813141,0.0820180356502533,8,0,48,0.0,0.0,11,0,0,0,running
SAC,1,2026,1,1829338324,5,0.04489596581459046,0.0833941638469696,8,0,48,0.0,0.0,11,0,0,0,running
SAC,1,2026,1,1829338324,6,0.04518988227844239,0.09587638080120087,9,0,48,0.0,0.0,11,0,0,0,running
SAC,1,2026,1,1829338324,7,0.04011315202713013,0.0993155688047409,9,0,48,0.0,0.0,11,0,0,0,running
SAC,1,2026,1,1829338324,8,0.02456185615062714,0.0849563479423523,8,0,48,0.0,0.0,11,0,0,0,running
SAC,1,2026,1,1829338324,9,0.0023821959495544435,0.05595606863498688,7,0,48,0.0,0.0,11,1,0,1,running
SAC,1,2026,1,1829338324,10,0.001317859649658203,0.051792544126510624,7,0,48,0.0,-2.372791051864624,11,1,0,1,time_limit
SAC,1,2026,2,384259585,1,0.0015114197731018067,0.05246028602123261,8,44,44,0.30232103531206916,87.84883880615234,8,44,1,0,running
SAC,1,2026,2,384259585,2,0.0014649937152862549,0.052303546667099,7,4,48,0.6940920040496372,7.6529541015625,0,5,0,1,running
SAC,1,2026,2,384259585,3,0.00641362464427948,0.06441497206687928,7,0,48,0.0,0.0,12,1,0,1,running
SAC,1,2026,2,384259585,4,0.053069288492202764,0.0914654016494751,9,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,2,384259585,5,0.04622522389888764,0.08450089097023011,8,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,2,384259585,6,0.049864653706550605,0.10072898864746094,9,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,2,384259585,7,0.03623268103599549,0.09609466493129731,8,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,2,384259585,8,0.020384726881980897,0.08250035643577576,8,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,2,384259585,9,0.0020423541069030764,0.054927590489387515,7,0,48,0.0,0.0,9,2,0,2,running
SAC,1,2026,2,384259585,10,0.0013222823143005371,0.0518433153629303,7,0,48,0.0,-2.372061252593994,9,2,0,2,time_limit
SAC,1,2026,3,56731231,1,0.0015034297704696656,0.052367794513702395,8,36,36,0.3102803588992331,71.84485626220703,1,44,0,8,running
SAC,1,2026,3,56731231,2,0.0014255354404449463,0.051982280611991886,7,7,43,0.3813273584568374,13.80933666229248,11,12,0,5,running
SAC,1,2026,3,56731231,3,0.001643226504325867,0.05428464114665985,8,0,43,0.0,0.0,6,4,0,4,running
SAC,1,2026,3,56731231,4,0.0017398873567581177,0.053068339824676514,7,0,43,0.0,0.0,6,4,0,4,running
SAC,1,2026,3,56731231,5,0.0018812397718429566,0.053467372059822084,7,0,43,0.0,0.0,6,4,0,4,running
SAC,1,2026,3,56731231,6,0.0019126812219619751,0.0538807213306427,8,0,43,0.0,0.0,6,4,0,4,running
SAC,1,2026,3,56731231,7,0.00153098201751709,0.052506673336029056,6,4,47,0.4676914900612734,7.7661542892456055,11,5,0,1,running
SAC,1,2026,3,56731231,8,0.03769627904891968,0.08964899182319641,9,0,47,0.0,0.0,11,0,0,0,running
SAC,1,2026,3,56731231,9,0.0013825843334197999,0.05203099548816681,6,0,47,0.0,0.0,11,3,0,3,running
SAC,1,2026,3,56731231,10,0.0013127187490463257,0.05146619975566864,7,0,47,0.0,-4.877533912658691,11,3,0,3,time_limit
SAC,1,2026,4,1374203058,1,0.0015086094141006472,0.05242283046245575,8,37,37,0.27397150708129747,73.8630142211914,14,43,0,6,running
SAC,1,2026,4,1374203058,2,0.0014292726516723633,0.05200474560260773,7,6,43,0.5044146746204694,11.74779224395752,9,11,0,5,running
SAC,1,2026,4,1374203058,3,0.0016095200777053835,0.05429633259773255,8,0,43,0.0,0.0,9,6,0,6,running
SAC,1,2026,4,1374203058,4,0.0016499111652374268,0.052854052186012274,7,0,43,0.0,0.0,9,6,0,6,running
SAC,1,2026,4,1374203058,5,0.00196147358417511,0.05357032716274262,7,0,43,0.0,0.0,9,6,0,6,running
SAC,1,2026,4,1374203058,6,0.0018648812770843508,0.05377636253833771,8,0,43,0.0,0.0,9,6,0,6,running
SAC,1,2026,4,1374203058,7,0.0015034178495407105,0.05240981876850129,6,3,46,0.309592291445306,5.845203876495361,9,6,0,3,running
SAC,1,2026,4,1374203058,8,0.017512715816497805,0.07442914545536042,9,0,46,0.0,0.0,9,0,1,0,running
SAC,1,2026,4,1374203058,9,0.0012846628427505493,0.05151974260807038,5,3,49,0.5468287439587654,5.726585865020752,9,3,0,0,running
SAC,1,2026,4,1374203058,10,0.01175122058391571,0.07539965510368347,9,0,49,0.0,-0.6758981943130493,1,0,0,0,time_limit
SAC,1,2026,5,784857332,1,0.0015067139863967896,0.05240021944046021,8,41,41,0.36120501877311667,81.81939697265625,3,48,0,7,running
SAC,1,2026,5,784857332,2,0.0014914700984954834,0.05230514109134674,7,4,45,0.5063451488645797,7.746827602386475,3,8,0,4,running
SAC,1,2026,5,784857332,3,0.0017160991430282594,0.054805904626846313,8,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,4,0.0036217490434646608,0.05640778243541718,7,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,5,0.010651851654052736,0.06307066380977631,7,0,45,0.0,0.0,9,3,0,3,running
SAC,1,2026,5,784857332,6,0.004281080722808838,0.05909179747104645,8,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,7,0.0023876140117645266,0.05548834204673767,7,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,8,0.0016744086742401124,0.05294019877910614,6,2,47,0.7576468580842698,3.6211764812469482,3,5,0,3,running
SAC,1,2026,5,784857332,9,0.017238167881965638,0.07741818428039551,9,0,47,0.0,0.0,3,0,0,0,running
SAC,1,2026,5,784857332,10,0.0012065569162368775,0.05104939639568329,5,2,49,0.40022620460557784,2.9161629676818848,3,3,0,1,time_limit
SAC,1,2026,6,1003451250,1,0.0015082279443740846,0.052418261766433716,8,36,36,0.33426648185087265,71.83287048339844,15,43,0,7,running
SAC,1,2026,6,1003451250,2,0.001418168306350708,0.051950791478157045,7,7,43,0.4344695023931674,13.78276538848877,15,11,0,4,running
SAC,1,2026,6,1003451250,3,0.001624677538871765,0.054306864738464355,8,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,4,0.0016584197282791138,0.05290067195892334,7,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,5,0.0019215503931045534,0.053491058945655826,7,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,6,0.0018703202009201052,0.05379537045955658,8,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,7,0.001506138801574707,0.052415174245834355,6,2,45,0.7286916849195695,3.6356542110443115,15,6,0,4,running
SAC,1,2026,6,1003451250,8,0.0069954762458801275,0.06258045136928558,8,0,45,0.0,0.0,13,2,0,2,running
SAC,1,2026,6,1003451250,9,0.0012898991107940674,0.05149147212505341,5,4,49,0.4469709313589634,7.776514530181885,15,5,0,1,running
SAC,1,2026,6,1003451250,10,0.005583686590194702,0.06422643065452577,8,0,49,0.0,-0.7424221634864807,11,1,0,1,time_limit
SAC,1,2026,7,171429433,1,0.001510236620903015,0.052490231394767765,8,37,37,0.3030558114302302,73.84847259521484,11,42,0,5,running
SAC,1,2026,7,171429433,2,0.0014268437623977661,0.05199254751205445,7,8,45,0.43857159937973067,15.78071403503418,0,9,0,1,running
SAC,1,2026,7,171429433,3,0.0016628572940826417,0.054445412755012516,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,4,0.002129230856895447,0.05392625033855439,8,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,5,0.005281076788902283,0.05819596350193024,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,6,0.0033113399744033813,0.05674625635147095,8,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,7,0.0024319300651550295,0.05567074716091156,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,8,0.0017272809743881226,0.05333617627620697,6,2,47,0.5123091198076629,3.7438454627990723,0,4,0,2,running
SAC,1,2026,7,171429433,9,0.01437110996246338,0.0764199435710907,9,0,47,0.0,0.0,0,1,0,1,running
SAC,1,2026,7,171429433,10,0.0012101808786392212,0.05115851163864136,6,0,47,0.0,-4.882088661193848,11,3,0,3,time_limit
SAC,1,2026,8,795643823,1,0.0015094230175018311,0.05243257582187653,8,39,39,0.29100386319459837,77.85449981689453,10,45,0,6,running
SAC,1,2026,8,795643823,2,0.00145451819896698,0.05213198959827423,7,5,44,0.4661322556204398,9.76693344116211,10,9,0,4,running
SAC,1,2026,8,795643823,3,0.001617140531539917,0.0543846607208252,8,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,4,0.001830480456352234,0.053273484110832214,7,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,5,0.002912122964859009,0.05529144108295441,7,0,44,0.0,0.0,10,4,0,4,running
SAC,1,2026,8,795643823,6,0.002098942756652832,0.05441362261772156,8,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,7,0.0016139636039733886,0.0528569221496582,6,3,47,0.5186526372140098,5.740673542022705,9,5,0,2,running
SAC,1,2026,8,795643823,8,0.04548041319847107,0.09671753644943237,9,0,47,0.0,0.0,10,0,0,0,running
SAC,1,2026,8,795643823,9,0.0014521548748016358,0.05247205197811127,6,0,47,0.0,0.0,1,3,0,3,running
SAC,1,2026,8,795643823,10,0.0013478527069091797,0.0516539603471756,7,0,47,0.0,-4.874794006347656,1,3,0,3,time_limit
SAC,1,2026,9,1381800716,1,0.001505051016807556,0.05238172113895417,8,37,37,0.3154144487561664,73.84229278564453,10,42,0,5,running
SAC,1,2026,9,1381800716,2,0.001435832142829895,0.052033478021621705,7,10,47,0.46474055808653364,19.767629623413086,7,10,1,0,running
SAC,1,2026,9,1381800716,3,0.0019236127138137818,0.055438199639320375,8,0,47,0.0,0.0,14,3,0,3,running
SAC,1,2026,9,1381800716,4,0.019331742286682132,0.07116847634315492,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,5,0.04323110675811768,0.08301363587379457,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,6,0.03579776382446289,0.08848614096641541,9,0,47,0.0,0.0,14,0,0,0,running
