scenario,scenario_label,scenario_description,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,slot_cost,probe_cost,utility_mean,total_probe_calls_mean,feedback_noise_std,probe_budget,budget_fraction,policy,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,probe_calls_per_slot_mean,oracle_match_rate,oracle_tx_gap_mean,observed_score_mean,observed_tx_fraction_mean,avg_reward
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.0,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.0,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.818180000000005,0.0,0.0,0,0.0,Random IRS,5000,5,49.2638,0.027288381117245353,0.985276,51.62,4.4562,0.021249509735520762,0.42864515164334355,16.157660727022822,0.04268621885058913,0.0,7.347666666666666,2.1246099999999997,0.0,0.0,96.62850809486804
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.0,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.373568000000006,44.0384,0.0,16,1.0,Full Noisy Feedback,5000,5,49.869,0.007307409937864407,0.99738,87.6,2.7524,0.020580933312170174,0.3539136000260074,15.88529016524352,0.057836877082611,16.0,89.35333333333334,0.07307333333333334,0.336744405488579,0.3532733708333334,98.84156034102627
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.802745,4.431,0.0,1,0.0625,Random Feedback Probe,5000,5,49.268,0.025457374570053436,0.98536,51.72,4.431,0.019901481351899293,0.4294915055947449,16.175963737201062,0.05313162390375613,1.0,7.614999999999999,2.1091433333333334,0.2177803548050255,0.235042,96.6577222260726
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.096023,4.3274,0.0,1,0.0625,Rotating Feedback Probe,5000,5,49.5504,0.012482599729222322,0.9910080000000001,64.66,4.3274,0.0106383051281678,0.4381513981261921,16.35461148640474,0.02217077136121473,1.0,7.570666666666666,1.8878666666666668,0.22277087277785276,0.2420016,97.5409516596764
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.043718,4.9684,0.0,1,0.0625,UCB Feedback Probe,5000,5,47.5654,0.037201811998881264,0.9513079999999999,11.82,4.9684,0.005207849460189933,0.39377188865578105,15.307920042358761,0.05772185725050034,1.0,3.578,4.754389999999999,0.18215990501223192,0.1919616,89.7490146462392
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.758859,4.9042,0.0,1,0.0625,Thompson Feedback Probe,5000,5,48.2738,0.011485666894002499,0.965476,21.7,4.9042,0.00589305218032223,0.40851174099378557,15.666932847773325,0.019650034137128736,1.0,4.337000000000001,4.041183333333334,0.18664409195720796,0.19846519999999995,92.96850115647071
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.057126,8.1868,0.0,2,0.125,Random Feedback Probe,5000,5,49.5074,0.024982120326346332,0.9901479999999999,60.56,4.0934,0.053139500336378785,0.3911219846438371,16.061302029323457,0.037884040513451796,2.0,14.368333333333332,1.4068033333333332,0.2332996274244607,0.2498092,97.64832679630031
