error_std,policy,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,decision_preview_calls_per_slot_mean,oracle_match_rate,oracle_tx_gap_mean,avg_reward
0.0,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.0,Estimated Count Argmax,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5404,0.013853748084904678,0.4206700952886007,16.573350646299872,0.06460997083791598,16.0,60.10933333333334,0.0,99.0508581164268
0.0,Estimated Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,99.93833333333332,0.0,99.12804359239937
0.0,Estimated Rotating Grid B=4,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,3.1598,0.023433273437571518,0.39809589398628736,16.20613280025471,0.039832193183116094,4.0,32.239309523809524,0.7308569047619048,98.9746831775873
0.0,Estimated Rotating Grid B=8,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.7694,0.019049344765634402,0.37999726868457867,16.078476428374586,0.05990330611534265,8.0,56.57576190476191,0.3158323809523809,99.06680336680063
0.0,Estimated Random Probe B=4,5000,5,49.992,0.0013859292911253573,0.99984,99.22,3.3878,0.036412770067656204,0.40764659717817137,16.246054383361557,0.032921436311412415,4.0,27.73299206349207,0.7819019841269841,98.92812274935147
0.02,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.02,Estimated Count Argmax,5000,5,49.9944,0.0009994078246640416,0.999888,99.46000000000001,2.6356,0.01819319257304769,0.4197956190785853,16.45038901325901,0.061290967187201284,16.0,54.97128571428571,0.0832297619047619,99.03749944242111
0.02,Estimated Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5916,0.014960334755613047,0.3613206515958005,15.880530489915234,0.04462568985602003,16.0,85.12266666666667,0.05977833333333333,99.12334680160373
0.02,Estimated Rotating Grid B=4,5000,5,49.9944,0.0014667296956143861,0.999888,99.46000000000001,3.1906,0.02725457348776546,0.3973623403347898,16.156274024193994,0.02015194437213746,4.0,31.247547619047616,0.7637754761904761,98.96969534926302
0.02,Estimated Rotating Grid B=8,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.8046,0.022429800177442415,0.378885981200638,15.993400566041196,0.06491739827877267,8.0,52.60528571428571,0.36906523809523806,99.06137459932671
0.02,Estimated Random Probe B=4,5000,5,49.9904,0.0013293366766919186,0.999808,99.06,3.4154,0.02429609548878175,0.40681725578046407,16.181386596704336,0.02661467149228832,4.0,26.30214285714285,0.8123848412698411,98.92241472677537
0.05,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.05,Estimated Count Argmax,5000,5,49.9928,0.001567999999999479,0.9998560000000001,99.33999999999999,2.7676,0.02034627277906205,0.41603207435447104,16.352962142096004,0.03898536315485761,16.0,49.04192857142857,0.21099412698412698,99.02524105245627
0.05,Estimated Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.6368,0.0181170169730008,0.3608658936831126,15.796249422945728,0.04141355102088814,16.0,74.68616666666667,0.15279166666666666,99.11531382606496
0.05,Estimated Rotating Grid B=4,5000,5,49.9942,0.0009601999791713265,0.999884,99.44,3.23,0.026666086327018418,0.3972223302307411,16.09480787626278,0.03926352771843474,4.0,29.99757142857143,0.813802619047619,98.96230586197919
0.05,Estimated Rotating Grid B=8,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.8506,0.014060182644617369,0.378925037218918,15.925709065916012,0.05087427233458115,8.0,48.39414285714286,0.44006809523809526,99.05256400996788
0.05,Estimated Random Probe B=4,5000,5,49.9906,0.0025252833504398053,0.999812,99.08,3.4756,0.03798862271786118,0.4074812214889114,16.108723404854647,0.047072011151974714,4.0,25.57874603174603,0.8584093650793649,98.9134014813104
0.1,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.1,Estimated Count Argmax,5000,5,49.988,0.0021470724254203325,0.99976,98.86,3.0596,0.03529415271684535,0.4146093093221536,16.205528599315848,0.03721232496756341,16.0,40.68353968253969,0.4043162698412699,98.98643718860508
0.1,Estimated Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.741,0.02776013256452492,0.3619478616833823,15.717416424483712,0.04121228876766995,16.0,62.416563492063496,0.3125357936507937,99.09467529259776
0.1,Estimated Rotating Grid B=4,5000,5,49.9936,0.0013293366766935612,0.999872,99.38,3.3186,0.008712635422190034,0.39681766274299524,16.00943111809434,0.040946387016482184,4.0,28.335603174603175,0.8967903174603176,98.94799883827336
0.1,Estimated Rotating Grid B=8,5000,5,49.9944,0.0015923115273092229,0.999888,99.46000000000001,2.9648,0.01975034338941989,0.37665471946523865,15.816659901745181,0.05747276593365242,8.0,42.822,0.5721953174603175,99.03631287587172
0.1,Estimated Random Probe B=4,5000,5,49.9898,0.0022688640329467697,0.999796,99.02,3.5514,0.020166104631286663,0.40586778440536664,16.05459168505975,0.027612888875695272,4.0,24.35811904761905,0.9554532539682539,98.9018566805553
0.2,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.2,Estimated Count Argmax,5000,5,49.949,0.004016804700256994,0.99898,95.0,3.8014,0.01685600000000006,0.41631508892843905,16.04412419862266,0.05687461382267536,16.0,28.615000000000002,0.7464757142857142,98.8350774430061
0.2,Estimated Greedy Full Preview,5000,5,49.9942,0.0015679999999987828,0.999884,99.44,3.012,0.020141324683346833,0.37150897580215503,15.66324591866156,0.048800459774764715,16.0,45.90234126984127,0.6221272222222222,99.03717029676389
0.2,Estimated Rotating Grid B=4,5000,5,49.9924,0.0007840000000013063,0.9998480000000001,99.28,3.5472,0.032481641337838825,0.40175663995168487,15.997133690376522,0.031910163905806865,4.0,24.37196825396825,1.062250238095238,98.90619356915315
0.2,Estimated Rotating Grid B=8,5000,5,49.993,0.0013859292911253573,0.9998600000000001,99.33999999999999,3.2192,0.03691570375869866,0.3836599284923153,15.765680557277722,0.03140146788612348,8.0,34.22115873015873,0.8095820634920635,98.98521700048506
0.2,Estimated Random Probe B=4,5000,5,49.985,0.002400499947927037,0.9997,98.58,3.8168,0.013471346777512718,0.4082642603603496,16.03980429474052,0.044255561768106494,4.0,20.80527777777778,1.111262857142857,98.86004394802326
0.3,Exact Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,99.12804359239937
0.3,Estimated Count Argmax,5000,5,49.8812,0.002729964102329224,0.997624,88.24,4.588,0.053651755609672155,0.4173631874908209,15.95794147308946,0.02995929852613597,16.0,20.63447619047619,1.0077145238095238,98.62856409157492
0.3,Estimated Greedy Full Preview,5000,5,49.9918,0.0007333648478082166,0.999836,99.22,3.3108,0.0178068993370548,0.3797256960867292,15.66422403274563,0.042065743496135954,16.0,34.93684126984127,0.8836350793650793,98.97752029073227
0.3,Estimated Rotating Grid B=4,5000,5,49.9874,0.0036458107465962165,0.999748,98.78,3.8162,0.03469476825113559,0.4052661093457273,15.989883978101744,0.02277595783063375,4.0,21.765047619047618,1.2184409523809525,98.86058947296054
0.3,Estimated Rotating Grid B=8,5000,5,49.99,0.0016398536520054632,0.9998,99.02,3.5034,0.02961222072050653,0.39175730871516845,15.767722549732937,0.03992285178886567,8.0,28.07821428571429,1.0332800793650794,98.93310039190729
0.3,Estimated Random Probe B=4,5000,5,49.981,0.0029071498069417664,0.9996200000000001,98.11999999999999,4.095,0.017232402038021333,0.4112258090669574,16.011811897267815,0.03750804976192321,4.0,19.11804761904762,1.2673751587301587,98.82133457322954
