decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.785,0.2842,0.36225237308245106,16.68521086831578,0.09135502034655658,51.83,1.83,1.425,51.425,30.314285714285717,4.0,1.2330575396825398,0.0,0.0,0.0,99.31924568495052
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.335,0.12739999999999987,0.36530839691753686,16.225519085261837,0.06318625962705794,50.535,0.535,1.845,51.845,12.25952380952381,12.0,0.8517976190476191,0.0,0.0,0.0,99.40681431626221
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.35965666085673953,16.178217059965768,0.15432835746542656,50.53,0.53,1.73,51.73,12.722222222222221,16.0,0.7040277777777777,0.0,0.0,0.0,99.42858475887547
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.0,50.0,0.0,1.0,100.0,3.335,0.12739999999999987,0.3665909589956482,16.23554430537514,0.0698237964542556,50.545,0.545,1.845,51.845,12.459523809523809,12.0,0.8517976190476191,0.0,0.0,0.020127142857142857,99.40180170620555
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.02 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.02,50.0,0.0,1.0,100.0,3.285,0.10779999999999985,0.3579942483688148,16.230691415476986,0.09174786463431758,50.55,0.55,1.78,51.78,12.892857142857142,13.669761904761904,0.8177142857142857,0.0,0.4174404761904762,0.020258809523809526,99.42008322384599
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.05 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,50.0,0.0,1.0,100.0,3.205,0.009799999999999792,0.36008403443256687,16.210345338620815,0.14980732293380944,50.52,0.52,1.67,51.67,12.591666666666665,15.536666666666667,0.6975277777777776,0.0,0.8841666666666665,0.02073888888888889,99.43475132659573
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.1,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.359785642767927,16.177911063623615,0.1377264416444052,50.53,0.53,1.73,51.73,12.774999999999997,15.919333333333332,0.7040277777777777,0.0,0.9798333333333332,0.020528888888888888,99.42873775704655
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.2,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.359785642767927,16.177911063623615,0.1377264416444052,50.53,0.53,1.73,51.73,12.774999999999997,16.0,0.7040277777777777,0.0,1.0,0.020528888888888888,99.42873775704655
0.0,0.0,temporal_ar1,0.7,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.3,0.019600000000000017,0.3546998983410974,16.21568923683554,0.10544104701619403,50.5,0.5,1.855,51.855,10.883333333333333,20.0,0.6484166666666666,0.0,0.0,0.0,99.44509525081062
0.0,0.0,temporal_ar1,0.7,1,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.97,0.019600000000000017,0.35701463082852186,16.22499751372254,0.11140466584332458,50.345,0.345,1.175,51.175,9.341666666666667,4.0,0.456,0.0,0.0,0.0,99.47711546882009
