decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,adaptive_sparse_v2_preview_cost,adaptive_sparse_v2_uncertainty_weight,adaptive_sparse_v2_urgency_weight,adaptive_sparse_v2_history_weight,adaptive_sparse_history_window,adaptive_sparse_v3_neighbor_radius,adaptive_sparse_v3_neighbor_count,adaptive_sparse_v3_history_count,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,adaptive_sparse_effective_margin_threshold_mean,adaptive_sparse_expand_score_mean,adaptive_sparse_history_stability_mean,adaptive_sparse_urgency_mean,adaptive_sparse_cost_penalty_mean,adaptive_sparse_v3_history_prior_rate,adaptive_sparse_v3_neighbor_extra_preview_mean,adaptive_sparse_v3_selected_extra_preview_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.785,0.2842,0.36225237308245106,16.68521086831578,0.09135502034655658,51.83,1.83,1.425,51.425,30.314285714285717,4.0,1.2330575396825398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31924568495052
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.335,0.12739999999999987,0.36530839691753686,16.225519085261837,0.06318625962705794,50.535,0.535,1.845,51.845,12.25952380952381,12.0,0.8517976190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.40681431626221
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.35965666085673953,16.178217059965768,0.15432835746542656,50.53,0.53,1.73,51.73,12.722222222222221,16.0,0.7040277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42858475887547
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,50.0,0.0,1.0,100.0,3.255,0.04899999999999982,0.34899303636730883,16.129889463535093,0.12305548084803676,50.5,0.5,1.915,51.915,12.599999999999998,15.353666666666667,0.7575277777777777,0.0,0.8384166666666667,0.020565555555555556,0.045842037037037035,0.017276481481481483,0.5078981481481482,0.0,0.008000000000000002,0.0,0.0,0.0,99.45730787927656
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK V3 Feedback Grid B=4 bm=2 nr=1 nc=2 hc=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1,2,1,50.0,0.0,1.0,100.0,3.345,0.029399999999999808,0.3544814085807161,16.145049102794786,0.19881386883625515,50.505,0.505,2.365,52.365,11.95,12.926666666666666,0.9360833333333332,0.0,0.0,0.020386666666666668,0.0,0.0,0.5220833333333332,0.0,0.0,0.37016666666666664,0.7038333333333333,0.9266666666666665,99.45077597802003
0.0,0.0,temporal_ar1,0.7,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.3,0.019600000000000017,0.3546998983410974,16.21568923683554,0.10544104701619403,50.5,0.5,1.855,51.855,10.883333333333333,20.0,0.6484166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44509525081062
0.0,0.0,temporal_ar1,0.7,1,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,2.97,0.019600000000000017,0.35701463082852186,16.22499751372254,0.11140466584332458,50.345,0.345,1.175,51.175,9.341666666666667,4.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.47711546882009
0.0,0.0,temporal_ar1,0.7,2,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,4.105,0.00980000000000066,0.37279212168062065,16.849966795217707,0.20380219965474608,52.04,2.04,1.725,51.725,31.220238095238095,4.0,1.2553154761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24701308855342
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.72,0.05880000000000005,0.3922431212868615,16.395031215070645,0.13476075851333233,50.575,0.575,2.365,52.365,12.352380952380951,12.0,0.8877738095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.30492962976813
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.5,0.15680000000000013,0.38076003771464656,16.321460790791118,0.27084620435321144,50.5,0.5,2.06,52.06,11.75952380952381,16.0,0.7187301587301588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36015972246773
