label,coverage_sparse_weight,coverage_sparse_power_weight,scenario_key,channel_rho,csi_delay_slots,episodes,num_seeds,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,coverage_sparse_selected_marginal_fraction_mean,coverage_sparse_selected_overlap_fraction_mean,slots_delta_vs_sparse,failed_delta_vs_sparse,missed_delta_vs_sparse,gap_delta_vs_sparse
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.548888888888889,6.257777777777778,7.706666666666667,57.70666666666666,16.0,2.8365000000000005,0.09548842592592592,0.7223841214265923,-0.14111111111111097,-0.02111111111111086,-0.7533333333333339,-0.12997971781305084
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.548888888888889,6.257777777777778,7.706666666666667,57.70666666666666,16.0,2.8365000000000005,0.09548842592592592,0.7223841214265923,-0.14111111111111097,-0.02111111111111086,-0.7533333333333339,-0.12997971781305084
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.55,6.26,7.706666666666667,57.70666666666666,16.0,2.834092592592593,0.09548416666666666,0.7223316810142305,-0.14000000000000012,-0.018888888888889177,-0.7533333333333339,-0.13238712522045848
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.542222222222222,6.237777777777778,7.72,57.72,16.0,2.8460185185185183,0.09591120370370372,0.7215954312094689,-0.14777777777777779,-0.04111111111111132,-0.7400000000000011,-0.12046119929453303
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.5411111111111113,6.236666666666666,7.726666666666667,57.72666666666667,16.0,2.851148148148148,0.09602481481481483,0.7213461454610322,-0.14888888888888863,-0.042222222222222605,-0.7333333333333343,-0.1153315696649031
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.5588888888888888,7.1755555555555555,7.535555555555556,57.535555555555554,16.0,2.8835449735449736,0.09615277777777777,0.7253536641223819,-0.2333333333333334,0.046666666666666856,-1.2844444444444445,-0.16552645502645502
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.5588888888888888,7.1755555555555555,7.535555555555556,57.535555555555554,16.0,2.8835449735449736,0.09615277777777777,0.7253536641223819,-0.2333333333333334,0.046666666666666856,-1.2844444444444445,-0.16552645502645502
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.5588888888888888,7.177777777777778,7.542222222222223,57.54222222222222,16.0,2.886970899470899,0.09619490740740741,0.7252875804112272,-0.2333333333333334,0.048888888888889426,-1.2777777777777777,-0.16210052910052974
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.562222222222222,7.1866666666666665,7.622222222222222,57.62222222222222,16.0,2.9075634920634923,0.09647225308641977,0.7250909808286732,-0.22999999999999998,0.05777777777777793,-1.1977777777777785,-0.14150793650793636
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.566666666666667,7.194444444444445,7.642222222222222,57.64222222222222,16.0,2.9099894179894177,0.09647077160493826,0.7248422972659556,-0.2255555555555553,0.06555555555555603,-1.177777777777778,-0.13908201058201097
