decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,result_role,uses_hidden_training_labels,inference_uses_hidden_current_csi,supervision_signal,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,coverage_sparse_weight,coverage_sparse_power_weight,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,adaptive_sparse_v2_preview_cost,adaptive_sparse_v2_uncertainty_weight,adaptive_sparse_v2_urgency_weight,adaptive_sparse_v2_history_weight,adaptive_sparse_history_window,adaptive_sparse_v3_neighbor_radius,adaptive_sparse_v3_neighbor_count,adaptive_sparse_v3_history_count,learned_shortlist_extra_count,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,adaptive_sparse_effective_margin_threshold_mean,adaptive_sparse_expand_score_mean,adaptive_sparse_history_stability_mean,adaptive_sparse_urgency_mean,adaptive_sparse_cost_penalty_mean,adaptive_sparse_v3_history_prior_rate,adaptive_sparse_v3_neighbor_extra_preview_mean,adaptive_sparse_v3_selected_extra_preview_mean,learned_shortlist_selected_extra_preview_mean,coverage_sparse_selected_marginal_fraction_mean,coverage_sparse_selected_overlap_fraction_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.548888888888889,0.015244444444444531,0.3436819177062997,18.024441435799815,0.016261209494066734,56.257777777777775,6.257777777777778,7.706666666666667,57.70666666666666,52.388888888888886,16.0,2.8365000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09548842592592592,0.7223841214265923,99.39125856345294
0.0,0.0,temporal_ar1,0.7,1,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0.25 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.548888888888889,0.015244444444444531,0.3436819177062997,18.024441435799815,0.016261209494066734,56.257777777777775,6.257777777777778,7.706666666666667,57.70666666666666,52.388888888888886,16.0,2.8365000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09548842592592592,0.7223841214265923,99.39125856345294
0.0,0.0,temporal_ar1,0.7,1,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0.5 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.55,0.017285575232288786,0.3437452069748602,18.021023299673786,0.022089491529223737,56.26,6.26,7.706666666666667,57.70666666666666,52.425925925925924,16.0,2.834092592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09548416666666666,0.7223316810142305,99.39092743766206
0.0,0.0,temporal_ar1,0.7,1,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=1 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.542222222222222,0.018606941489802475,0.3435016844523866,17.99529389027956,0.033077070487983626,56.23777777777778,6.237777777777778,7.72,57.72,52.22222222222223,16.0,2.8460185185185183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09591120370370372,0.7215954312094689,99.39283749998708
0.0,0.0,temporal_ar1,0.7,1,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=2 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.5411111111111113,0.014280643897368668,0.343136477531475,17.980778792064616,0.029452420840163328,56.236666666666665,6.236666666666666,7.726666666666667,57.72666666666667,52.162962962962965,16.0,2.851148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09602481481481483,0.7213461454610322,99.39384143086632
0.0,0.0,temporal_ar1,0.7,2,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.5588888888888888,0.04339191481837299,0.34319432676610107,18.15122331961154,0.12697563843444065,57.175555555555555,7.1755555555555555,7.535555555555556,57.535555555555554,56.13033509700176,16.0,2.8835449735449736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615277777777777,0.7253536641223819,99.39207004263214
0.0,0.0,temporal_ar1,0.7,2,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0.25 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.5588888888888888,0.04339191481837299,0.34319432676610107,18.15122331961154,0.12697563843444065,57.175555555555555,7.1755555555555555,7.535555555555556,57.535555555555554,56.13033509700176,16.0,2.8835449735449736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615277777777777,0.7253536641223819,99.39207004263214
0.0,0.0,temporal_ar1,0.7,2,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=0.5 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.5588888888888888,0.04339191481837299,0.3432232541227111,18.154982805496985,0.1489795059683258,57.17777777777778,7.177777777777778,7.542222222222223,57.54222222222222,56.08403880070547,16.0,2.886970899470899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09619490740740741,0.7252875804112272,99.39203616033987
0.0,0.0,temporal_ar1,0.7,2,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=1 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.562222222222222,0.010888888888888849,0.3423723386537247,18.12190304453758,0.15931890641977647,57.18666666666667,7.1866666666666665,7.622222222222222,57.62222222222222,56.28589065255731,16.0,2.9075634920634923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09647225308641977,0.7250909808286732,99.39260368420031
0.0,0.0,temporal_ar1,0.7,2,4,Coverage-Aware Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75 cw=2 cpw=0,comparison_reference,false,false,none,900,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.566666666666667,0.017285575232288783,0.3426516153857128,18.12006417084143,0.15718135115501314,57.19444444444444,7.194444444444445,7.642222222222222,57.64222222222222,56.3173721340388,16.0,2.9099894179894177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09647077160493826,0.7248422972659556,99.39124633703287
