policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Coverage-Aware B=3 sm=4.1,0.7,1,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.526666666666667,7.003333333333333,6.905555555555556,56.90555555555556,16.0,2.8270132275132274,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,1,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.1655555555555557,6.658888888888889,6.614444444444445,56.614444444444445,16.0,2.9935,0.5321296296296296,0.44472222222222224,0.0874074074074074,0.6235740740740741
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.097777777777778,6.605555555555555,6.605555555555555,56.605555555555554,16.0,3.0454074074074073,0.6793703703703703,0.5685185185185185,0.11085185185185185,0.6412407407407408
Coverage-Aware B=3 sm=4.1,0.7,2,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.55,7.912222222222222,6.687777777777778,56.687777777777775,16.0,2.8190066137566134,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,2,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.25,7.544444444444444,7.2877777777777775,57.28777777777778,16.0,3.2140026455026454,0.37735449735449733,0.568031746031746,-0.19067724867724867,0.6170925925925926
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.2455555555555557,7.521111111111111,7.521111111111111,57.52111111111111,16.0,3.2856719576719575,0.46206613756613757,0.7008809523809523,-0.2388148148148148,0.619920634920635
Coverage-Aware B=3 sm=4.1,0.7,3,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.453333333333333,8.016666666666667,6.551111111111111,56.55111111111111,16.0,2.882153439153439,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,3,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.26,7.621111111111111,7.333333333333333,57.333333333333336,16.0,3.2448333333333332,0.3527142857142857,0.5947433862433862,-0.24202910052910054,0.6172037037037037
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,3,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.2055555555555557,7.576666666666667,7.576666666666667,57.57666666666667,16.0,3.3581613756613757,0.453,0.7365608465608466,-0.28356084656084657,0.6222089947089946
Coverage-Aware B=3 sm=4.1,0.9,1,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.526666666666667,5.0377777777777775,5.223333333333334,55.223333333333336,16.0,2.1075,0.0,0.0,0.0,0.0
