policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Coverage-Aware B=3 sm=4.1,0.7,1,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.526666666666667,7.003333333333333,6.905555555555556,56.90555555555556,16.0,2.8270132275132274,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,1,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.1655555555555557,6.658888888888889,6.614444444444445,56.614444444444445,16.0,2.9935,0.5321296296296296,0.44472222222222224,0.0874074074074074,0.6235740740740741
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.7,1,900,3,0.75,0.0,2.0,0.0,50.0,100.0,3.172222222222222,6.7155555555555555,6.515555555555555,56.51555555555556,16.0,2.9716851851851853,0.4870925925925926,0.3650185185185185,0.12207407407407407,0.6235555555555555
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.097777777777778,6.605555555555555,6.605555555555555,56.605555555555554,16.0,3.0454074074074073,0.6793703703703703,0.5685185185185185,0.11085185185185185,0.6412407407407408
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.7,1,900,3,1.0,0.0,2.0,0.0,50.0,100.0,3.138888888888889,6.708888888888889,6.46,56.46,16.0,2.9808148148148144,0.5400555555555556,0.39311111111111113,0.14694444444444443,0.6293518518518518
Coverage-Aware B=3 sm=4.1,0.7,2,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.55,7.912222222222222,6.687777777777778,56.687777777777775,16.0,2.8190066137566134,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,2,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.25,7.544444444444444,7.2877777777777775,57.28777777777778,16.0,3.2140026455026454,0.37735449735449733,0.568031746031746,-0.19067724867724867,0.6170925925925926
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.7,2,900,3,0.75,0.0,2.0,0.0,50.0,100.0,3.2533333333333334,7.573333333333333,7.105555555555555,57.105555555555554,16.0,3.1644285714285716,0.34718783068783066,0.4857724867724868,-0.1385846560846561,0.6148703703703704
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.2455555555555557,7.521111111111111,7.521111111111111,57.52111111111111,16.0,3.2856719576719575,0.46206613756613757,0.7008809523809523,-0.2388148148148148,0.619920634920635
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.7,2,900,3,1.0,0.0,2.0,0.0,50.0,100.0,3.2288888888888887,7.593333333333334,7.14,57.14,16.0,3.2016137566137566,0.38241798941798943,0.5247671957671958,-0.14234920634920634,0.6190132275132275
