policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,mask_correction_rerank_mode,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_requested_target_delta_mean,mask_correction_target_delta_mean,mask_correction_unmet_additions_mean,mask_correction_applied_rate
Coverage-Aware B=3 sm=4.1,0.7,1,200,2,0.0,0.0,-1.0,none,0.0,50.0,100.0,3.58,7.065,7.215,57.215,16.0,2.917440476190476,0.0,0.0,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,200,2,1.0,0.0,-1.0,global_stale_gain,0.0,50.0,100.0,3.1,6.64,6.64,56.64,16.0,3.0572500000000002,0.7675,0.5245833333333334,0.24291666666666667,0.24291666666666667,0.0,0.6536666666666666
prune_only Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,200,2,1.0,0.0,-1.0,prune_only,0.0,50.0,100.0,3.605,6.585,8.655,58.655,16.0,3.280678571428571,0.0,0.48536904761904764,0.12114285714285714,-0.48536904761904764,0.6065119047619048,0.24119047619047618
Coverage-Aware B=3 sm=4.1,0.7,2,200,2,0.0,0.0,-1.0,none,0.0,50.0,100.0,3.66,8.125,7.24,57.24,16.0,2.892059523809524,0.0,0.0,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,200,2,1.0,0.0,-1.0,global_stale_gain,0.0,50.0,100.0,3.26,7.58,7.58,57.58,16.0,3.27325,0.5304166666666666,0.64325,-0.11283333333333333,-0.11283333333333333,0.0,0.6323333333333333
prune_only Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,200,2,1.0,0.0,-1.0,prune_only,0.0,50.0,100.0,3.815,7.56,9.19,59.19,16.0,3.3019285714285713,0.0,0.5907261904761905,-0.1447857142857143,-0.5907261904761905,0.4459404761904762,0.30338095238095236
Coverage-Aware B=3 sm=4.1,0.7,3,200,2,0.0,0.0,-1.0,none,0.0,50.0,100.0,3.475,8.14,6.685,56.685,16.0,2.9501785714285718,0.0,0.0,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,3,200,2,1.0,0.0,-1.0,global_stale_gain,0.0,50.0,100.0,3.25,7.64,7.64,57.64,16.0,3.444392857142857,0.4023333333333333,0.7294404761904763,-0.3271071428571429,-0.3271071428571429,0.0,0.6146904761904761
prune_only Mask-Corrected Coverage-Aware B=3 mc=1,0.7,3,200,2,1.0,0.0,-1.0,prune_only,0.0,50.0,100.0,3.6,7.61,8.82,58.82,16.0,3.449892857142857,0.0,0.6761904761904762,-0.32410714285714287,-0.6761904761904762,0.35208333333333336,0.3500238095238095
Coverage-Aware B=3 sm=4.1,0.9,1,200,2,0.0,0.0,-1.0,none,0.0,50.0,100.0,3.53,5.235,5.455,55.455,16.0,2.184357142857143,0.0,0.0,0.0,0.0,0.0,0.0
