decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,2,Estimated Rotating Grid B=2,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.275,0.26460000000000045,0.37690091080106763,16.799656137841108,0.23067406426608966,51.96,1.96,2.48,52.48,30.013492063492066,2.0,1.7146349206349205,0.0,99.22548126746702
0.0,0.0,temporal_ar1,0.7,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.785,0.2842,0.36225237308245106,16.68521086831578,0.09135502034655658,51.83,1.83,1.425,51.425,30.314285714285717,4.0,1.2330575396825398,0.0,99.31924568495052
0.0,0.0,temporal_ar1,0.7,1,8,Estimated Rotating Grid B=8,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.425,0.009800000000000225,0.35336191022425495,16.69824845874657,0.08832187584204498,51.72,1.72,0.82,50.82,30.85,8.0,0.8794166666666666,0.0,99.39337422235253
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,49.995,0.00979999999999805,0.9998999999999999,99.5,4.42,0.09799999999999964,0.37845945820297316,16.43051815227493,0.034843858529145774,51.185,1.19,3.73,53.725,20.211706349206352,4.0,1.7720535714285717,0.0,99.21891487646744
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,49.995,0.00979999999999805,0.9998999999999999,99.5,4.42,0.09799999999999964,0.37845945820297316,16.43051815227493,0.034843858529145774,51.185,1.19,3.73,53.725,20.211706349206352,4.0,1.7720535714285717,0.0,99.21891487646744
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,49.995,0.00979999999999805,0.9998999999999999,99.5,4.42,0.09799999999999964,0.37845945820297316,16.43051815227493,0.034843858529145774,51.185,1.19,3.73,53.725,20.211706349206352,4.0,1.7720535714285717,0.0,99.21891487646744
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,50.0,0.0,1.0,100.0,3.955,0.16659999999999991,0.3733581259987133,16.37468562864253,0.13633199122798306,51.06,1.06,2.6,52.6,19.226984126984128,6.0,1.326075396825397,0.0,99.3009335471337
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,50.0,0.0,1.0,100.0,3.955,0.16659999999999991,0.3733581259987133,16.37468562864253,0.13633199122798306,51.06,1.06,2.6,52.6,19.226984126984128,6.0,1.326075396825397,0.0,99.3009335471337
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,50.0,0.0,1.0,100.0,3.72,0.09800000000000007,0.3676484498057161,16.442394839632655,0.2037720941410026,51.235,1.235,2.11,52.11,22.905158730158732,6.0,1.2385714285714284,0.0,99.33331239049443
0.0,0.0,temporal_ar1,0.7,1,2,Sparse-TopK Feedback Grid B=2 sm=3 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,50.0,0.0,1.0,100.0,3.72,0.019600000000000017,0.3668748901677382,16.30932987003599,0.41820321781809405,50.965,0.965,2.175,52.175,19.160714285714285,8.0,1.0956666666666666,0.0,99.34215374038482
