error_std,probe_budget,policy,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,true_opportunities_mean,missed_opportunities_mean,false_positive_rate,execution_failure_rate,failure_slot_rate,missed_opportunity_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0,Estimated No IRS,1.0,1.0,0.0,0.0,0.0,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,10.0,0.0,0.3351087191945026,13.051770173167505,0.04116319580503586,38.9412,0.0,38.9412,0.0,0.0,0.0,0.0,0.0,0.0,8.17252,0.0,12.297445640402747
0.0,1,Estimated Fixed IRS,1.0,1.0,0.0,0.0,0.0,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,10.0,0.0,0.29875771226010117,12.23550154947601,0.04267743256406361,40.9552,0.0,40.9552,0.0,0.0,0.0,0.0,0.0,1.0,7.3631,0.0,37.21022114386995
0.0,16,Exact Greedy Full CSI,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608581979463,15.977935100125729,0.053604404292855054,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,99.52804357132192
0.0,16,Estimated Greedy Full Preview,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608581979463,15.977935100125729,0.053604404292855054,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,99.52804357132192
0.0,1,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.8516,0.0076062143014770855,0.9970319999999999,86.88,5.9526,0.08992449241446955,0.4442046355722271,16.506819176899576,0.05111117543554748,49.8516,0.0,49.8516,0.0,0.0,0.0,0.0,0.0,1.0,1.8353884920634922,0.0,98.71479193628576
0.0,1,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9634,0.003428599714169166,0.999268,96.52,5.1664,0.02908206760187462,0.44843378800491235,16.588033868437574,0.02387878897912038,49.9634,0.0,49.9634,0.0,0.0,0.0,0.0,0.0,1.0,1.717758174603175,0.0,98.97503319945312
0.0,1,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9368,0.00825530035795103,0.998736,94.04,5.6854,0.05963877745225844,0.4260646490557435,15.856966952268355,0.028519219492713316,49.9368,0.0,51.4726,1.5358,0.0,0.0,0.0,2.9837233790404993,1.0,1.6953654761904764,0.0,98.89462321665083
0.0,1,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9634,0.003428599714169166,0.999268,96.52,5.1664,0.02908206760187462,0.44843378800491235,16.588033868437574,0.02387878897912038,49.9634,0.0,49.9634,0.0,0.0,0.0,0.0,0.0,1.0,1.717758174603175,0.5,98.97503319945312
0.0,1,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9634,0.003428599714169166,0.999268,96.52,5.1664,0.02908206760187462,0.44843378800491235,16.588033868437574,0.02387878897912038,49.9634,0.0,49.9634,0.0,0.0,0.0,0.0,0.0,1.0,1.717758174603175,0.4438135923663652,98.97503319945312
0.0,2,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9674,0.004981639890636018,0.9993479999999999,96.86,4.3266,0.03846097367462241,0.4295421810165277,16.36189430142756,0.036349200662854464,49.9674,0.0,49.9674,0.0,0.0,0.0,0.0,0.0,2.0,1.257660634920635,0.0,99.1389378064634
