Label,ShortLabel,Role,FeedbackNoiseStd,Gap,Failed,Missed,IsNoNoiseCorrectionTradeoff,IsHighNoiseGapBest
Coverage-Aware B=3,B3,uncorrected baseline,0,2.207,5.804,5.438,False,False
Direct Mask Correction mc=1,Direct,slot/failed trade-off; high-noise gap-best,0,2.382,5.385,5.385,True,False
Clipped Mask Correction mc=1 clip=2,Clip2,failed-invitation control diagnostic,0,2.345,5.439,5.262,False,False
Coverage-Aware B=3,B3,uncorrected baseline,0.02,2.240,6.356,5.370,False,False
Direct Mask Correction mc=1,Direct,slot/failed trade-off; high-noise gap-best,0.02,2.257,6.200,5.025,False,False
Clipped Mask Correction mc=1 clip=2,Clip2,failed-invitation control diagnostic,0.02,2.256,6.240,4.990,False,False
Coverage-Aware B=3,B3,uncorrected baseline,0.05,2.380,7.217,5.292,False,False
Direct Mask Correction mc=1,Direct,slot/failed trade-off; high-noise gap-best,0.05,2.184,7.563,4.226,False,False
Clipped Mask Correction mc=1 clip=2,Clip2,failed-invitation control diagnostic,0.05,2.265,7.463,4.471,False,False
Coverage-Aware B=3,B3,uncorrected baseline,0.1,2.519,7.873,5.281,False,False
Direct Mask Correction mc=1,Direct,slot/failed trade-off; high-noise gap-best,0.1,2.080,8.803,3.319,False,True
Clipped Mask Correction mc=1 clip=2,Clip2,failed-invitation control diagnostic,0.1,2.291,8.395,4.025,False,False
