probe_budget,budget_fraction,policy,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,decision_preview_calls_per_slot_mean,candidate_count_mean,oracle_match_rate,oracle_tx_gap_mean,avg_reward
1,0.0625,Random Probe,5000,5,49.8574,0.00556446727009768,0.9971479999999999,87.22,5.9428,0.036185231020403934,0.4439446670068631,16.4843883262776,0.046352102908366326,1.0,1.0,7.9375873015873015,1.8398089682539684,98.33044662085567
1,0.0625,Fixed Grid Probe,5000,5,41.0186,0.05355715690736405,0.820372,0.02,9.9982,0.003528000000000134,0.299489309576039,12.283064012409211,0.03285537755786942,1.0,1.0,0.316,7.302040000000001,37.65395444547391
1,0.0625,Rotating Grid Probe,5000,5,49.9634,0.003428599714169166,0.999268,96.52,5.1664,0.02908206760187462,0.448433819745287,16.588035042547165,0.023878790669274633,1.0,1.0,8.668904761904763,1.717758174603175,98.5750331863309
1,0.0625,Local Probe,5000,5,41.0186,0.05355715690736405,0.820372,0.02,9.9982,0.003528000000000134,0.299489309576039,12.283064012409211,0.03285537755786942,1.0,1.0,0.316,7.302040000000001,37.65395444547391
1,0.0625,Hybrid Local+Grid Probe,5000,5,49.9634,0.003428599714169166,0.999268,96.52,5.1664,0.02908206760187462,0.448433819745287,16.588035042547165,0.023878790669274633,1.0,1.0,8.668904761904763,1.717758174603175,98.5750331863309
2,0.125,Random Probe,5000,5,49.9684,0.0022000945434222925,0.999368,96.94,4.3944,0.03509768448202823,0.42758559275857067,16.382792178654498,0.02260474118523292,2.0,2.0,15.154396825396827,1.2577907142857143,98.73828245848338
2,0.125,Fixed Grid Probe,5000,5,46.5708,0.06006496669440584,0.931416,2.8000000000000003,9.7758,0.0418192537475264,0.3784384302788982,14.725194560403855,0.04511730509318376,2.0,2.0,1.9140000000000001,2.95844,84.86619555524082
2,0.125,Rotating Grid Probe,5000,5,49.9928,0.00114286657139012,0.9998560000000001,99.3,3.8728,0.017957279972200705,0.42447159598039036,16.376840989793408,0.04203764988353961,2.0,2.0,16.723388888888888,1.2118780952380952,98.8257520568144
2,0.125,Local Probe,5000,5,47.6862,0.07094387798816794,0.953724,49.18,7.246,0.05849869468629194,0.400567994003667,15.369234377831317,0.0244671752046549,2.0,2.0,6.410880952380952,2.9128289682539683,85.93812796032348
2,0.125,Hybrid Local+Grid Probe,5000,5,49.9548,0.004176226047523362,0.999096,95.62,5.0754,0.05280954398591217,0.44511434992907106,16.46271870845879,0.032232899753459616,2.0,2.0,10.606309523809523,1.388337142857143,98.59954929636552
4,0.25,Random Probe,5000,5,49.9906,0.0014667296956171777,0.999812,99.11999999999999,3.4016,0.04090064957919375,0.4071605493313702,16.225881947129594,0.04493311649859104,4.0,4.0,27.798888888888882,0.7808707936507937,98.92444979649508
4,0.25,Fixed Grid Probe,5000,5,49.205,0.011428665713895947,0.9841,44.86,6.8026,0.026271312414875812,0.4112569526307865,15.90986230536573,0.040260229774420835,4.0,4.0,12.775666666666666,1.0541699999999998,96.6932437861835
4,0.25,Rotating Grid Probe,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,3.1598,0.023433273437571518,0.39809589398628736,16.20613280025471,0.039832193183116094,4.0,4.0,32.239309523809524,0.7308569047619048,98.9746831775873
4,0.25,Local Probe,5000,5,49.7712,0.0064828314801475785,0.995424,81.0,4.6262,0.0521868173392478,0.4192333600704761,16.219840372828994,0.036235167878559835,4.0,4.0,19.67061904761905,0.8886645238095238,98.3113916015191
4,0.25,Hybrid Local+Grid Probe,5000,5,49.9942,0.0016860557523404726,0.999884,99.44,3.6042,0.03837998311620264,0.4159878111199663,16.278734806012775,0.049875283432313726,4.0,4.0,23.2825,0.8340562698412698,98.89012426792969
8,0.5,Random Probe,5000,5,49.9944,0.0014667296956143861,0.999888,99.46000000000001,2.8594,0.016614974450777767,0.38290456157567876,16.08548005462171,0.04419300310696459,8.0,8.0,52.58053174603173,0.3527897619047619,99.04760286338535
8,0.5,Fixed Grid Probe,5000,5,49.9196,0.008329423509461784,0.9983920000000001,92.2,3.3646,0.06438115202448617,0.38898097776299717,16.063962435065495,0.059479999998966034,8.0,8.0,43.68933333333334,0.39259333333333335,98.84318800185832
8,0.5,Rotating Grid Probe,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.7694,0.019049344765634402,0.37999726868457867,16.078476428374586,0.05990330611534265,8.0,8.0,56.57576190476191,0.3158323809523809,99.06680336680063
8,0.5,Local Probe,5000,5,49.9726,0.0015923115273097372,0.999452,97.36,3.0346,0.022668313038247827,0.3894756988943117,16.10247591732867,0.055549539202839913,8.0,8.0,48.02080952380953,0.3708323809523809,98.97751392070884
8,0.5,Hybrid Local+Grid Probe,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.879,0.01621004133245799,0.38607727320503754,16.098757098807077,0.055629612835749166,8.0,8.0,49.976880952380945,0.35087214285714285,99.04120673138658
16,1.0,Greedy Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,16.0,100.0,0.0,99.12804359239937
